yelp_feature.avgstar,yelp_feature.location,yelp_feature.business_count,yelp_feature.reviewcount,yelp_feature.five_star_count,yelp_feature.four_star_count,yelp_feature.three_star_count,yelp_feature.two_star_count,yelp_feature.one_star_count,yelp_feature.senti_neg_avg,yelp_feature.senti_pos_avg,yelp_feature.senti_neu_avg,yelp_feature.senti_comp_avg,yelp_feature.senti_compound_pos_count,yelp_feature.senti_compound_neg_count,yelp_feature.senti_compound_neu_count
4.0443073471676945,183,12,3566,57,27,8,8,36,0.06108088235294114,0.16366176470588228,0.7752647058823532,0.5096301470588237,108,28,NULL
3.941747572815534,184,3,103,10,3,NULL,2,1,0.03175,0.19037499999999996,0.7779375,0.6633374999999999,15,1,NULL
2.5074503311258276,185,8,1812,13,16,10,5,46,0.08478888888888886,0.1361777777777778,0.7790333333333335,0.10876999999999999,46,43,1
3.4731517203369813,186,6,12701,45,29,25,15,27,0.04680141843971631,0.21428368794326239,0.7388865248226947,0.6041602836879434,116,22,3
2.1956521739130435,187,4,184,4,3,2,1,14,0.09487500000000003,0.11966666666666669,0.7854583333333335,0.17021250000000002,13,11,NULL
3.424927536231884,188,5,1725,13,16,7,4,15,0.05576363636363637,0.17509090909090913,0.7692,0.44965999999999995,41,12,2
3.009590377113134,189,21,3076,43,41,24,22,70,0.07863000000000002,0.14397,0.7773799999999998,0.2450775,128,68,4
2.3792372881355934,190,6,236,6,5,3,2,19,0.07894285714285713,0.1288,0.7923428571428575,0.06751714285714285,17,18,NULL
4.000929713648197,191,3,10756,54,37,6,8,9,0.032421052631578934,0.22918421052631574,0.7383947368421051,0.7579947368421056,106,7,1
4.020186335403727,192,8,322,25,6,3,4,6,0.05070454545454546,0.15772727272727274,0.7915681818181818,0.5328340909090911,35,8,1
4.067067109710034,193,13,35211,131,86,48,24,17,0.04495424836601306,0.19517320261437907,0.759892156862745,0.7093526143790848,276,27,3
3.634515395964211,194,45,336192,784,636,340,198,206,0.04369177449168212,0.19881238447319766,0.7574921441774483,0.7180348890942695,1938,215,11
4.36304362355469,195,38,403979,739,417,148,105,146,0.04395627009646301,0.20640578778135035,0.7496411575562695,0.6852309324758843,1373,161,21
4.372428979660447,196,18,148725,470,251,72,51,52,0.03613504464285712,0.21995647321428588,0.7439062499999997,0.7667800223214287,823,67,6
3.999446680626227,197,20,92171,277,156,52,56,62,0.04595356550580431,0.19640630182421212,0.7576484245439478,0.6654791044776123,522,73,8
3.0997652582159625,198,10,12354,52,50,25,18,21,0.05515060240963853,0.17053012048192775,0.7742831325301205,0.5913897590361441,137,26,3
3.4733847653623773,199,25,59496,181,177,94,67,83,0.048905315614617924,0.17429069767441868,0.7768272425249165,0.5723480066445179,486,106,10
3.4593209861867287,200,10,42061,88,110,46,27,63,0.052667664670658636,0.17848203592814368,0.7688502994011974,0.5878230538922158,277,53,4
3.311004784688995,204,6,418,12,6,3,3,15,0.06207692307692307,0.16705128205128203,0.770897435897436,0.30733846153846156,25,13,1
3.3658536585365852,205,4,533,11,7,2,2,11,0.049000000000000016,0.2022727272727273,0.7488181818181817,0.5839909090909092,28,4,1
2.7864408169961448,206,32,12191,83,70,46,43,142,0.07277864583333334,0.15251302083333337,0.774734375,0.27077734374999984,242,134,8
3.990633514986376,207,4,2936,39,20,6,6,10,0.06334567901234568,0.21875308641975302,0.7179506172839506,0.5383925925925922,66,14,1
2.4947368421052634,208,3,190,1,1,4,5,11,0.10736363636363638,0.09168181818181816,0.801,-0.030213636363636356,9,13,NULL
4.403225806451613,209,2,620,15,8,1,NULL,4,0.04460714285714286,0.23435714285714285,0.7211071428571428,0.6895250000000003,25,3,NULL
4.483683937525215,210,5,86755,217,89,22,11,6,0.03326376811594203,0.24221449275362322,0.7245246376811588,0.8079776811594199,327,17,1
4.1667268786127165,211,16,2768,103,24,9,10,23,0.040715976331360954,0.18831952662721899,0.7709408284023671,0.6032047337278105,141,25,3
2.8839834024896267,212,14,6025,57,26,21,28,78,0.07299523809523809,0.1433142857142857,0.7836380952380948,0.31897952380952393,141,65,4
3.8657333660090676,213,15,114254,292,293,104,54,58,0.039108614232209724,0.20668164794007457,0.7541960049937574,0.7360719101123595,727,65,9
3.637439421459242,214,70,597365,989,891,426,268,392,0.047793661496965636,0.19756979096426186,0.7546281186783537,0.6219799730276456,2512,423,31
3.987514103046258,215,25,226015,402,349,121,90,102,0.04182894736842106,0.2049849624060149,0.7531954887218048,0.6990517857142864,938,120,6
4.048278722521776,216,30,24110,204,80,28,25,49,0.04681606217616576,0.20320207253886016,0.7499766839378239,0.605470207253886,321,62,3
4.054920746741811,217,27,70975,417,231,85,65,112,0.04436703296703301,0.1991307692307692,0.7564879120879127,0.6749901098901092,798,103,9
3.5652215873996296,218,49,51808,423,230,95,81,224,0.05064102564102562,0.17516999050332363,0.7741699905033239,0.5348245014245012,840,200,13
